#{"t_start": 1599227363.373105, "env_id": "WalrusStairs-v0"}
r,l,t
-75.430585,37,13078.896025
748.642509,335,13149.005494
-278.430965,224,13195.967422
-56.551528,73,13211.524772
-102.870628,48,13221.936577
-150.783999,65,13235.874644
-68.298695,33,13243.173483
22.903719,18,13247.288936
-52.094068,48,13257.719199
-8.264578,15,13261.255669
-76.088596,47,13271.388667
-11.568988,18,13275.590932
-29.984581,68,13290.152309
-54.622699,42,13299.28651
-77.408845,49,13309.913068
92.528344,64,13323.640028
-210.729352,141,13353.411748
32.389256,33,13360.630624
9.56812,12,13363.485301
-76.883419,48,13373.840369
6.138943,67,13388.29618
-28.886714,80,13405.350476
-12.47905,43,13414.671834
-19.405444,36,13422.595426
70.637344,23,13427.817902
-76.035625,38,13436.105145
-32.748541,22,13441.096869
-7.950219,24,13446.507208
-39.091805,53,13457.882077
207.454334,58,13470.308593
-5.657706,3,13471.378986
54.708762,35,13479.07679
-254.733291,128,13506.189382
289.159424,159,13539.683322
74.298591,54,13551.312264
-46.255397,44,13560.788376
-12.846497,19,13565.156951
-41.002848,70,13580.194633
8.557081,36,13588.022124
-38.801597,56,13600.056067
-14.956259,30,13606.759925
22.232886,33,13614.044089
-21.018779,7,13615.903457
-166.033598,136,13644.666043
468.930458,182,13682.886832
-133.571296,51,13693.894779
36.039274,27,13699.960717
-296.742637,217,13745.473872
-86.460459,43,13754.791539
76.121855,20,13759.400755
-98.234883,38,13767.73374
35.412357,26,13773.569731
-90.833714,46,13783.540872
-35.621585,22,13788.553443
25.469703,14,13791.910118
-168.489618,73,13807.459575
17.933617,16,13811.149814
-20.013193,6,13812.805107
-154.951838,322,13880.147845
14.551704,10,13882.604166
-114.097628,137,13911.424267
212.793955,70,13926.366077
-14.979206,17,13930.280722
-44.312179,21,13935.08935
71.147166,78,13951.75289
8.607147,37,13959.86653
-44.859085,65,13973.681016
-39.444806,36,13981.551324
48.311629,35,13989.25265
-16.209205,32,13996.266189
-32.278068,33,14003.527109
-20.427844,59,14016.206013
14.364446,34,14023.654348
173.170288,127,14050.498656
-160.56252,130,14077.96014
-42.98483,50,14088.740605
-1.722573,16,14092.46029
89.34629,173,14128.786604
-17.272336,13,14131.914403
-5.923055,40,14140.757342
49.95626,29,14147.204981
25.240763,24,14152.626561
-22.070231,18,14156.752169
-4.936233,9,14159.006652
19.942614,81,14176.261328
-46.263859,52,14187.442971
14.00403,50,14198.250055
-134.938421,74,14213.970915
-53.266151,38,14222.2078
-1035.47308,859,14401.27575
8.897163,7,14403.106805
-3.484999,16,14406.744484
-35.430562,52,14417.943512
4.67803,38,14426.216237
-17.458944,19,14430.622159
1.360549,14,14433.955594
-8.701819,5,14435.438344
18.748159,33,14442.756163
-1.433357,10,14445.279174
117.616037,98,14466.136327
-100.150391,37,14474.267605
-99.27968,93,14494.018757
-192.194251,79,14510.850272
28.171142,19,14515.222601
52.947513,78,14531.832511
140.35184,38,14540.074572
54.403232,145,14570.593378
13.76259,11,14573.236485
-102.934877,100,14594.471314
47.95811,26,14600.264854
-116.812939,49,14610.794898
119.932577,93,14630.467793
4.127682,42,14639.627392
-76.967327,90,14658.872549
-79.968768,83,14676.548137
-21.71163,19,14680.904226
-71.134907,43,14690.262791
137.611414,122,14716.055969
-20.938104,33,14723.336162
2.396485,18,14727.400767
-235.449574,10000,16812.288144
-236.11539,10000,18891.917059
-235.324061,10000,20971.538762
-231.119981,10000,23051.363788
-234.775417,10000,25130.991032
-20.848692,10,25133.51877
63.950791,58,25146.005948
-30.584769,34,25153.477241
-6.443834,33,25160.686718
-11.486087,19,25164.953346
-55.091494,43,25174.313398
55.016694,78,25190.963747
-645.238661,376,25269.464123
-49.000043,88,25288.143028
-43.23559,32,25295.279462
27.829815,41,25304.116127
-42.369916,53,25315.556251
-10.957,130,25343.027519
1.437658,15,25346.558358
114.311609,83,25364.121566
9.806189,7,25365.972721
-21.446166,16,25369.684655
37.514028,24,25375.114261
92.631841,140,25404.611597
3.940959,15,25408.11636
-25.432447,43,25417.540749
-166.705858,123,25443.506836
-33.15466,54,25455.135082
-24.232384,44,25464.708419
9.170152,12,25467.62242
-96.137531,66,25481.796242
258.027416,375,25560.158851
-13.258905,12,25563.070718
5.126937,8,25565.109713
9.60137,93,25584.767021
-243.536719,160,25618.589112
-4.174109,175,25655.384957
-179.887098,117,25680.135854
20.40245,11,25682.795309
-3.661396,26,25688.558454
17.257925,10,25691.054915
132.734597,79,25707.932711
14.559837,17,25711.869122
23.309565,19,25716.209574
-252.42954,268,25772.256605
43.156465,37,25780.36495
7.712849,8,25782.389783
-14.2936,28,25788.674607
-214.788747,127,25815.529483
214.489893,157,25848.551522
21.384299,12,25851.478882
165.631472,44,25861.039922
-6.898227,32,25868.149862
-4.199011,23,25873.315668
23.587883,59,25885.914321
-146.386515,79,25902.741127
60.033837,83,25920.511654
-15.825629,78,25937.125467
0.287719,6,25938.797874
24.659955,94,25958.762594
-6.979747,20,25963.342894
42.515232,109,25986.411451
-109.943515,81,26003.631522
-55.989053,67,26017.939121
38.054722,21,26022.737315
-9.236263,15,26026.236313
-21.549073,21,26030.985295
-856.416868,313,26096.55602
-188.916316,148,26127.76917
55.208733,25,26133.379179
-265.397538,101,26154.707761
16.65241,80,26171.884049
8.094812,27,26177.870748
22.003949,18,26182.024764
110.110141,42,26191.127883
3.465325,203,26233.708931
-90.91351,49,26244.34809
108.673955,49,26254.937396
-15.239105,81,26272.093711
101.191985,62,26285.301324
38.339267,21,26290.113541
-38.538869,38,26298.50116
85.9938,26,26304.365347
15.695496,10,26306.867642
-30.638194,28,26313.08162
-8.681187,9,26315.347889
5.493375,149,26346.719325
-175.224331,208,26390.366048
-57.687677,47,26400.547143
13.598037,10,26402.983745
-33.254136,86,26421.276455
-12.100591,20,26425.960208
-2.887863,12,26428.850736
-26.383483,32,26435.856894
-18.419701,29,26442.313688
-68.059352,91,26461.629891
-72.98414,61,26474.661969
-6.296226,20,26479.216157
-10.159664,31,26486.05664
-49.467911,49,26496.630838
-13.34525,15,26500.157968
-44.2912,34,26507.664881
-10.534067,78,26524.249619
7.4886,27,26530.264536
-118.340233,59,26542.890596
210.771579,125,26569.224363
-25.677864,92,26588.789307
-109.643451,118,26613.929703
25.63007,18,26618.033914
35.879725,28,26624.242434
-1.409305,13,26627.358175
-2.669248,26,26633.194374
0.312992,12,26636.087176
-1.510435,21,26640.816079
18.55298,51,26651.832482
-131.233999,256,26705.402725
-38.420823,21,26710.173863
-20.772872,21,26714.953404
90.388584,24,26720.362453
-25.890314,24,26725.721464
-47.779898,19,26730.062406
198.508134,53,26741.5843
-29.348152,56,26753.649828
-35.067852,157,26786.640324
81.719221,27,26792.674182
-1.249497,35,26800.293838
10.183922,16,26804.169024
-36.740094,33,26811.470541
-120.985563,119,26836.598518
3.089453,29,26842.989707
-124.546466,100,26864.269175
-35.34643,103,26886.013608
-34.99567,32,26893.065591
22.548109,62,26906.364705
27.123391,14,26909.65387
3.25709,10,26912.127965
94.372422,65,26926.005578
-1.511041,15,26929.545878
77.303206,88,26948.206313
125.675941,32,26955.227968
-74.573086,33,26962.470623
1.973402,7,26964.331314
-20.436687,34,26971.809357
-126.103857,54,26983.440898
-32.458879,48,26993.841524
-125.922185,57,27006.11751
-20.896111,6,27007.732508
-158.170818,107,27030.347261
33.077635,56,27042.379633
26.842125,111,27065.940737
3.771679,8,27068.02015
65.475307,19,27072.311081
29.487031,34,27079.75235
-21.025823,36,27087.649146
-1.142701,15,27091.16932
-58.166354,103,27112.972498
138.399131,57,27125.192319
195.527224,93,27144.854391
19.57576,48,27155.237781
-110.812558,88,27173.94403
147.862947,51,27185.061912
44.677092,84,27202.921969
-6.667768,22,27207.885803
27.787792,60,27220.693408
11.014786,12,27223.563366
14.027124,20,27228.115896
24.643039,60,27241.020327
73.117349,77,27257.41797
-19.831636,23,27262.578763
-233.379727,10000,29356.360537
-234.496585,10000,31436.047532
-235.326588,10000,33515.81268
-232.67244,10000,35595.425508
-233.089249,10000,37675.037956
-27.286894,24,37680.425436
-125.759776,76,37696.617088
4.458932,13,37699.687304
-50.179744,201,37741.912959
-4.978185,10,37744.394385
0.763785,22,37749.316695
-176.275865,154,37781.732856
22.750545,12,37784.635104
-16.467177,54,37796.221673
-1.602007,37,37804.274985
47.157923,133,37832.283194
7.008203,7,37834.193504
6.314647,13,37837.247867
-35.507445,31,37844.080207
-182.67995,89,37862.935536
-70.960035,17,37866.793185
-52.75023,35,37874.472989
10.240727,24,37879.916135
-69.477826,28,37886.083105
-86.101603,116,37910.658698
43.328107,28,37916.84098
75.359797,47,37927.002939
-172.494596,127,37953.76169
28.834066,20,37958.28274
3.001092,18,37962.448611
-137.296817,80,37979.485743
102.42927,130,38006.89933
114.712693,25,38012.507835
3.533287,10,38015.053343
52.853815,51,38026.063393
-56.630078,61,38039.142056
1060.675114,369,38116.252148
-28.011845,52,38127.433869
14.952598,11,38130.186245
18.864899,11,38132.887469
134.272556,47,38143.123333
