#{"t_start": 1598826891.8652916, "env_id": "WalrusBalance-v0"}
r,l,t
113.263262,9,413.400397
34.475973,3,414.445074
29.572188,4,415.677192
86.983502,8,417.772483
98.629685,10,420.268277
54.697284,5,421.776129
39.728568,4,422.985267
29.436529,4,424.262328
83.176338,7,426.110673
64.105063,5,427.582439
58.376713,6,429.219836
49.315197,4,430.433256
37.839677,4,431.658491
39.696523,4,432.863837
24.71734,3,433.890673
69.187313,6,435.564731
108.210277,12,438.400526
93.217153,9,440.644139
9.795422,2,441.624548
116.886233,8,443.678652
27.71886,4,444.893729
48.80502,4,446.06658
85.60806,8,448.093161
78.734297,8,450.171423
23.850048,3,451.183682
39.79228,4,452.40292
34.234357,3,453.486308
79.056629,8,455.594245
78.137181,8,457.656673
49.810174,6,459.355833
59.516619,6,461.042767
24.303475,3,462.084414
38.496492,4,463.355705
64.4292,7,465.282625
53.852276,5,466.712221
34.462871,3,467.745701
34.836255,3,468.706865
96.520985,10,471.165203
183.552833,15,474.721487
49.443676,4,476.043924
53.785313,5,477.451924
39.72297,4,478.704703
73.031586,7,480.640915
62.865097,5,482.103541
178.104993,14,485.503276
108.90792,10,488.005365
212.980226,17,492.017749
39.749172,4,493.280901
98.827486,8,495.392351
69.539555,7,497.239955
33.509507,3,498.32511
24.544118,3,499.321827
83.932995,8,501.345897
39.62246,4,502.618981
84.285765,7,504.477152
44.722483,5,506.04581
64.454675,5,507.529181
38.921702,4,508.793533
39.644973,4,510.060668
44.344382,5,511.527688
39.374501,4,512.769791
24.379566,3,513.854637
34.66512,3,514.887292
54.509586,5,516.379437
87.695627,8,518.440575
34.169119,3,519.451784
62.867275,5,520.915911
29.629936,4,522.179832
84.415283,7,524.097733
34.75394,3,525.123867
57.650661,6,526.755453
48.929762,4,528.009811
34.388868,3,529.056834
24.516349,3,530.170727
74.213242,7,532.023611
195.891913,16,535.885222
29.678268,4,537.110605
103.653324,9,539.378136
38.667137,4,540.653394
24.507891,3,541.698035
93.356251,10,544.199767
53.86332,7,546.124242
98.54996,10,548.557348
24.007343,3,549.620151
63.916395,8,551.742146
112.194719,9,554.052406
88.652712,8,556.206098
115.09579,10,558.702585
57.862462,6,560.291082
24.42385,3,561.315343
34.464557,3,562.363776
29.38415,4,563.628559
57.540777,6,565.318739
115.033484,10,567.889715
92.522917,9,570.197127
43.409723,5,571.634515
98.474085,10,574.115185
29.543491,4,575.407764
59.01954,6,577.02727
49.557679,4,578.301695
24.715724,3,579.539953
79.309107,8,581.603847
80.482403,9,583.847828
93.958078,9,586.067657
93.757777,9,588.317841
67.901978,6,590.034054
77.783671,8,592.191962
34.487179,3,593.234948
94.46964,10,595.716073
34.464982,3,596.802625
38.900255,4,598.033223
38.964513,4,599.264404
29.655433,4,600.491519
28.81872,4,601.693776
49.4259,6,603.375245
63.936002,5,604.767472
77.850452,8,606.844213
66.738058,6,608.482021
34.686565,3,609.497001
80.744446,9,611.791873
54.522643,5,613.275904
34.32167,5,614.788404
78.587693,8,616.831269
49.293418,6,618.467879
49.401769,6,620.244203
98.933906,8,622.352425
29.739587,4,623.62854
24.492716,3,624.653117
29.456777,4,625.878056
59.636127,6,627.510312
39.550921,6,629.10628
33.598563,3,630.129839
103.086493,9,632.372719
24.640665,3,633.357534
39.134934,6,635.016143
103.04583,11,637.657535
54.117682,5,639.160282
29.630209,4,640.420411
29.51214,4,641.656752
29.366158,4,642.930299
75.552055,8,644.997542
104.14955,9,647.232455
23.617817,3,648.297325
48.786451,6,649.885801
64.663402,7,651.814414
34.621141,5,653.287374
128.361401,12,656.252809
29.353907,4,657.505686
28.7457,4,658.707274
34.515903,3,659.711386
34.477677,5,661.129591
77.498463,8,663.199623
39.788224,4,664.471514
29.517408,4,665.739906
39.685052,4,667.021923
123.773188,14,670.368794
24.663027,3,671.439944
34.718006,3,672.436386
82.788247,9,674.685932
63.541876,9,677.009248
33.985127,3,678.008405
102.616866,9,680.337678
28.120555,4,681.545304
39.615747,4,682.805898
91.716072,9,685.067234
93.024516,9,687.356291
29.302222,4,688.599049
66.263342,8,690.701129
24.453971,3,691.754173
34.517518,3,692.79978
64.220105,7,694.635366
56.762361,6,696.449703
34.507222,3,697.421772
28.93576,4,698.642581
70.843458,7,700.514121
29.758461,4,701.757002
54.581502,5,703.230632
43.74584,5,704.649449
133.945245,11,707.342957
